,Type,Rating,Aroused,Creative,Energetic,Euphoric,Focused,Giggly,Happy,Hungry,Relaxed,Sleepy,Talkative,Tingly,Uplifted
0,Indica,4.349705882352941,0.09852941176470588,0.18235294117647058,0.05,0.7426470588235294,0.15294117647058825,0.1338235294117647,0.8088235294117647,0.3014705882352941,0.9088235294117647,0.6720588235294118,0.0838235294117647,0.20294117647058824,0.47352941176470587
1,Hybrid,4.306843455945252,0.07356715141146279,0.3498716852010265,0.2763045337895637,0.699743370402053,0.25919589392643283,0.1343028229255774,0.8023952095808383,0.18391787852865696,0.7510692899914457,0.20102651839178784,0.15739948674080412,0.1343028229255774,0.7031650983746792
2,Sativa,4.312616822429907,0.10046728971962617,0.43457943925233644,0.6098130841121495,0.6285046728971962,0.4158878504672897,0.07710280373831775,0.7873831775700935,0.09345794392523364,0.4602803738317757,0.06542056074766354,0.2546728971962617,0.0911214953271028,0.7476635514018691
